chr	start	end	lnc
chr4	188534085	188647874	lnc-ZFP42-2
chr1	129652	130202	lnc-FAM138A-9
chr1	83814046	84326743	lnc-TTLL7-2
chr16	74088049	74330660	lnc-CLEC18B-3
chrX	129611042	129658231	lnc-GPR119-1
chr17	48633567	48639469	CACNA1G-AS1
chr1	2481358	2488470	lnc-HES5-1
chr1	9732459	9749476	PIK3CD-AS2
chr1	28900056	28909495	SNHG12
chr5	43571422	43604056	NNT-AS1
chr12	123565930	123569291	lnc-ARL6IP4-3
chr3	106959519	107045811	DUBR
chr15	83626881	83654970	lnc-HOMER2-2
chr11	62619345	62623483	SNHG1
chr16	65318401	65610203	LINC00922
chr17	7771135	7777031	lnc-LSMD1-1
chr17	74730198	74733413	lnc-METTL23-1
chr14	51163431	51390015	lnc-ABHD12B-2
chr8	102996659	103007078	lnc-GRHL2-4
chr1	149590751	149591762	lnc-FAM72C-2
chr1	131336	140566	lnc-FAM138A-2
chr11	47817720	47817931	lnc-PTPRJ-3
chr12	74500356	74796369	lnc-KCNC2-2
chr17	34888477	34900681	lnc-MYO19-1
chr7	97935833	97939753	lnc-BRI3-1
chr12	127353678	127359236	lnc-DHX37-11
chr4	7092971	7105186	lnc-GRPEL1-1
chr3	113518424	113529901	lnc-NAA50-3
chr5	38556875	38719106	LIFR-AS1
chr3	51428781	51431933	lnc-VPRBP-1
chr4	133996465	134070271	lnc-RP11-62N21.1.1-5
chr14	35550286	35582336	lnc-FAM177A1-1
chr5	176864889	176882798	PRR7-AS1
chr11	12981280	13011095	LINC00958
chr17	18573264	18576264	lnc-TRIM16L-1
chr4	190701489	190861819	lnc-FRG2-2
chr16	20685831	20766930	lnc-AC004381.6.1-1
chrX	46404924	46419116	ZNF674-AS1
chr12	72634622	72668687	TRHDE-AS1
chr7	1094995	1099548	lnc-COX19-2
chr14	29288804	29566484	lnc-C14orf23-1
chr6	132223102	132241705	lnc-ENPP1-1
chr12	93388096	93413688	lnc-RP11-511B23.3.1-3
chr22	27042391	27316612	LINC01422
chr15	52205350	52239492	lnc-TMOD3-3
chr15	62488343	62495517	lnc-C2CD4B-2
chr1	16138391	16174642	lnc-ZBTB17-1
chr8	67833918	67838633	SNHG6
chr12	47560285	47610239	PCED1B-AS1
chr9	125226303	125231465	lnc-OR1J2-2
chr11	68637568	68642010	lnc-IGHMBP2-1
chr12	93908736	93965544	SOCS2-AS1
chr10	1205707	1219726	LINC00200
chr11	68779750	68785916	MRGPRF-AS1
chr10	118895794	118928570	MIR3663HG
chr20	10002572	10349451	SNAP25-AS1
chr11	69902335	69911477	lnc-FGF3-2
chr1	91247874	91317317	lnc-ZNF644-1
chr1	209600874	209606783	MIR205HG
chr11	856879	859795	lnc-CHID1-1
chr5	139452441	139494354	LINC01024
chr12	68383161	68628466	IFNG-AS1
chr10	7527346	7534658	lnc-ITIH2-3
chr6	114290864	114861884	lnc-MARCKS-5
chr15	37090796	37110712	lnc-MEIS2-2
